Sample	input	filtered	filtered_pc	denoisedF	denoisedR	denoisedF_pc	denoisedR_pc	merged	merged_pc	tabled	chimera_out	length_filtered	tabled_pc	chimera_out_pc	length_filtered_pc	day	treatment	mouse_label	BW	BW_percent	BW_delta	DAI	treatment_grouped	treatment_invivo	day_num
S_345	26796	26719	1	26323	26354	0.99	0.99	23818	0.9	23818	18120	18120	1	0.76	1	Day_14	TreatC	m_28	18.96	0.109859155	0.42	3	TreatC	TreatC	14
S_346	42867	42762	1	42236	42312	0.99	0.99	38771	0.92	38771	30174	30174	1	0.78	1	Day_14	TreatC	m_36	18.02	0.198041834	0.8	3	TreatC	TreatC	14
S_347	49591	49374	1	48708	48943	0.99	0.99	45983	0.94	45983	34059	34059	1	0.74	1	Day_14	TreatC	m_51	16.96	0.226277372	0.72	4	TreatC	TreatC	14
S_348	49706	49595	1	49100	49181	0.99	0.99	46988	0.96	46988	36536	36536	1	0.78	1	Day_14	TreatC	m_55	18.02	0.121404193	0.06	2	TreatC	TreatC	14
S_349	82068	81706	1	80665	80976	0.99	0.99	75663	0.94	75663	54422	54422	1	0.72	1	Day_14	Control	m_2	21.28	0.009009009	0.58	0	Control	none	14
S_350	52750	52500	1	51830	51938	0.99	0.99	48047	0.93	48047	33745	33745	1	0.7	1	Day_14	Control	m_21	21.72	0.019239794	0.18	0	Control	none	14
S_351	73446	73177	1	72467	72411	0.99	0.99	67645	0.93	67645	47662	47662	1	0.7	1	Day_14	Control	m_22	21.7	0.061124694	0.54	0	Control	none	14
S_352	69764	69491	1	68538	68691	0.99	0.99	63239	0.92	63239	45958	45958	1	0.73	1	Day_14	Control	m_25	21.79	-0.009545455	-0.07	0	Control	none	14
S_353	61764	61575	1	60824	61048	0.99	0.99	56477	0.93	56477	45184	45184	1	0.8	1	Day_14	Control	m_37	21.72	0.065750736	0.56	0	Control	none	14
S_354	52313	52053	1	51372	51569	0.99	0.99	48051	0.94	48051	34946	34946	1	0.73	1	Day_14	Control	m_44	23.77	0.100462963	0.8	0	Control	none	14
S_355	51593	51313	0.99	50391	50675	0.98	0.99	46169	0.92	46169	32861	32861	1	0.71	1	Day_14	Control	m_52	21.75	0	-0.26	0	Control	none	14
S_356	46806	46542	0.99	45968	45972	0.99	0.99	41514	0.9	41514	29841	29841	1	0.72	1	Day_14	Control	m_53	22.26	0.005874379	0.79	0	Control	none	14
S_438	66744	66455	1	65323	65479	0.98	0.99	60561	0.93	60561	52584	52584	1	0.87	1	Day_6	TreatA	m_19	20.48	0.039399625	-0.93	1	TreatA	TreatA	6
S_439	65688	65409	1	64553	64591	0.99	0.99	60150	0.93	60150	50751	50751	1	0.84	1	Day_6	TreatA	m_26	20.35	0.070776256	-1.61	2	TreatA	TreatA	6
S_440	42282	42132	1	41655	41507	0.99	0.99	38560	0.93	38560	33283	33283	1	0.86	1	Day_6	TreatA	m_46	20.77	0.01657197	-0.49	1	TreatA	TreatA	6
S_441	70679	70422	1	69786	69632	0.99	0.99	66477	0.95	66477	58699	58699	1	0.88	1	Day_6	TreatA	m_48	19.9	0.022113022	-0.43	1	TreatA	TreatA	6
S_442	64149	63878	1	62852	63031	0.98	0.99	60377	0.96	60377	58881	58881	1	0.98	1	Day_6	TreatA	m_56	19.5	0.049244271	-1.12	1	TreatA	TreatA	6
S_443	66106	65772	0.99	65139	65014	0.99	0.99	61479	0.94	61479	50758	50758	1	0.83	1	Day_6	TreatB	m_29	21.32	-0.017661098	0.39	2	TreatB	TreatB	6
S_444	67344	67025	1	65804	66358	0.98	0.99	63124	0.96	63124	60863	60863	1	0.96	1	Day_6	TreatB	m_13	20.59	-0.011793612	-0.79	1	TreatB	TreatB	6
S_445	47094	46707	0.99	45473	46244	0.97	0.99	42723	0.94	42723	36375	36375	1	0.85	1	Day_6	TreatB	m_18	21.06	0.022737819	-1.04	1	TreatB	TreatB	6
S_446	67572	67267	1	65981	66428	0.98	0.99	61694	0.94	61694	50918	50918	1	0.83	1	Day_6	TreatB	m_27	22.95	0.009922347	-0.21	0	TreatB	TreatB	6
S_447	67255	66994	1	65937	66416	0.98	0.99	63155	0.96	63155	58042	58042	1	0.92	1	Day_6	TreatB	m_32	20.91	-0.006256015	-0.15	1	TreatB	TreatB	6
S_448	57626	57445	1	56882	56862	0.99	0.99	54043	0.95	54043	46975	46975	1	0.87	1	Day_6	TreatB	m_49	20.41	0.023444976	-1	2	TreatB	TreatB	6
S_449	69800	69629	1	69042	68944	0.99	0.99	65940	0.96	65940	57531	57531	1	0.87	1	Day_6	TreatB	m_54	19.93	-0.011675127	-0.86	1	TreatB	TreatB	6
S_450	66731	66475	1	65494	65868	0.99	0.99	62165	0.95	62165	53894	53894	1	0.87	1	Day_6	TreatB	m_35	20.81	-0.013638578	-0.6	1	TreatB	TreatB	6
S_465	69793	69596	1	68933	69150	0.99	0.99	67008	0.97	67008	63618	63618	1	0.95	1	Day_6	TreatC	m_7	20.98	0	-0.93	1	TreatC	TreatC	6
S_466	73792	73415	0.99	72195	72677	0.98	0.99	68679	0.95	68679	60000	60000	1	0.87	1	Day_6	TreatC	m_10	20.42	0.002929687	-0.69	1	TreatC	TreatC	6
S_467	64707	64401	1	63506	63635	0.99	0.99	59847	0.94	59847	49010	49010	1	0.82	1	Day_6	TreatC	m_11	19.93	0.026380068	-0.87	1	TreatC	TreatC	6
S_468	69869	69411	0.99	67836	68545	0.98	0.99	63359	0.93	63359	53096	53096	1	0.84	1	Day_6	TreatC	m_24	23.81	-0.039284155	0.46	0	TreatC	TreatC	6
